OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2025-12-04T15:36:43.212960,13.76351711,0.0027162,90.2215,67.2697,159.0699,309.0581,0,U,900,999,4466,0.0012283,1.211e-05,0.0
CALSPHERE 2,1964-063E,2025-12-04T14:12:30.284352,13.52881738,0.0020401,90.2363,71.2062,74.4339,353.0789,0,U,902,999,82995,9.7441e-05,7.4e-07,0.0
LCS 1,1965-034C,2025-12-04T11:40:34.858848,9.8930945,0.0013438,32.1426,279.3197,153.3358,206.7832,0,U,1361,999,19060,0.0013193,1.8e-07,0.0
TEMPSAT 1,1965-065E,2025-12-04T15:49:06.875904,13.3358132,0.007139,89.9887,212.6762,75.2749,339.0456,0,U,1512,999,93412,0.00015975,8.9e-07,0.0
CALSPHERE 4A,1965-065H,2025-12-04T16:19:00.877728,13.3623724,0.0068223,89.9093,124.3111,292.914,93.8021,0,U,1520,999,93673,0.00031937,1.75e-06,0.0
OPS 5712 (P/L 160),1967-053A,2025-12-04T16:45:34.701120,14.73999608,0.0005044,69.9162,153.7607,291.0755,68.9852,0,U,2826,999,3753,0.0033971,0.00022364,0.0
LES-5,1967-066E,2025-12-04T14:04:32.602080,1.09426261,0.0056139,2.1751,102.7696,199.6977,54.5952,0,U,2866,999,12890,0.0,-1.04e-06,0.0
SURCAL 159,1967-053F,2025-12-04T14:52:56.246016,13.99539504,0.0007046,69.9753,59.7804,342.4591,17.6272,0,U,2872,999,98298,0.00017682,2.04e-06,0.0
OPS 5712 (P/L 153),1967-053H,2025-12-04T16:50:40.551936,13.96789416,0.0004424,69.9722,172.1592,87.8475,272.3137,0,U,2874,999,97962,0.00011963,1.13e-06,0.0
OPS 3811 (DSP 2),1971-039A,2025-12-04T14:09:24.635808,0.98158622,0.002464,0.3301,313.4889,330.7407,91.9678,0,U,5204,999,20432,0.0,1e-08,0.0
RIGIDSPHERE 2 (LCS 4),1971-067E,2025-12-04T15:55:06.735360,14.37544317,0.0061218,87.622,32.7927,156.3645,204.0389,0,U,5398,999,84593,0.00048482,1.502e-05,0.0
