OBJECT_NAME,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,NORAD_CAT_ID,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,ORBIT_PERIOD_SEC,SEMI_MAJOR_AXIS,ORBIT_HEIGHT,PERIGEE,APOGEE,ORBITAL_SPEED,AGE_SINCE_LAUNCH,SAT_TYPE
CALSPHERE 1,2025-12-04 15:36:43.212960,13.76351711,0.0027162,90.2215,67.2697,159.0699,309.0581,900,4466,0.0012283,1.211e-05,0.0,6277.465222695538,7354.923144692981,983.9231446929807,956.9457024473659,996.9005869385965,7.3617247887821815,61.925,C
CALSPHERE 2,2025-12-04 14:12:30.284352,13.52881738,0.0020401,90.2363,71.2062,74.4339,353.0789,902,82995,9.7441e-05,7.4e-07,0.0,6386.36752741798,7439.741867656754,1068.741867656754,1046.5640502725473,1076.9196850409617,7.319639860455066,61.925,E
TEMPSAT 1,2025-12-04 15:49:06.875904,13.3358132,0.007139,89.9887,212.6762,75.2749,339.0456,1512,93412,0.00015975,8.9e-07,0.0,6478.795008916291,7511.351540377689,1140.3515403776892,1079.728001730933,1186.9750790244452,7.284665311004214,60.925,E
CALSPHERE 4A,2025-12-04 16:19:00.877728,13.3623724,0.0068223,89.9093,124.3111,292.914,93.8021,1520,93673,0.00031937,1.75e-06,0.0,6465.917683898707,7501.395143071386,1130.395143071386,1072.2183749868109,1174.571911155962,7.289498076790215,60.925,H
OPS 5712 (P/L 160),2025-12-04 16:45:34.701120,14.73999608,0.0005044,69.9162,153.7607,291.0755,68.9852,2826,3753,0.0033971,0.00022364,0.0,5861.602644333946,7026.39959913697,655.3995991369702,644.8554831791662,651.9437150947751,7.531859754031226,58.925,A
SURCAL 159,2025-12-04 14:52:56.246016,13.99539504,0.0007046,69.9753,59.7804,342.4591,17.6272,2872,98298,0.00017682,2.04e-06,0.0,6173.459180899263,7273.458791048834,902.4587910488344,890.3339119846614,900.5836701130074,7.402836470536524,58.925,F
OPS 5712 (P/L 153),2025-12-04 16:50:40.551936,13.96789416,0.0004424,69.9722,172.1592,87.8475,272.3137,2874,97962,0.00011963,1.13e-06,0.0,6185.613880682497,7283.0026270766675,912.0026270766675,901.7806267144488,908.2246274388863,7.397984445754357,58.925,H
RIGIDSPHERE 2 (LCS 4),2025-12-04 15:55:06.735360,14.37544317,0.0061218,87.622,32.7927,156.3645,204.0389,5398,84593,0.00048482,1.502e-05,0.0,6010.249491320552,7144.693382117006,773.693382117006,722.9549981703622,810.4317660636507,7.469247482683042,54.925,E
OSCAR 7 (AO-7),2025-12-04 14:35:40.640928,12.53693986,0.0012327,101.9967,344.7903,141.9375,335.1952,7530,33613,0.00010223,-3e-07,0.0,6891.633920624072,7827.145287777915,1456.1452877779147,1439.4967657816715,1458.793809774159,7.136198955128021,51.925,B
STARLETTE,2025-12-04 16:42:47.850624,13.82347297,0.0205643,49.8214,152.2826,140.5091,221.0992,7646,56763,8.1831e-06,-1.34e-06,0.0,6250.238285813352,7333.640980840132,962.6409808401322,804.8297876178412,1106.4521740624232,7.372398881773029,50.925,A
UOSAT 2 (UO-11),2025-12-04 11:12:08.800992,14.90098494,0.0009236,97.7796,301.6244,104.6387,255.5856,14781,22812,0.00037512,3.574e-05,0.0,5798.274432723505,6975.69965078826,604.6996507882604,591.2568945907924,604.1424069857276,7.559181282584166,41.925,B
AJISAI (EGS),2025-12-04 17:16:00.079968,12.44514133,0.0011268,50.0113,25.3788,45.7966,55.4006,16908,45617,2.4022e-05,-9.4e-07,0.0,6942.4683664882095,7865.588134098211,1494.5881340982114,1478.7251893887096,1496.4510788077132,7.118738606398122,39.925,A
LUSAT (LO-19),2025-12-04 14:12:50.546016,14.34039512,0.0012473,98.8964,349.9273,59.6612,300.5803,20442,87450,0.00013538,3.32e-06,0.0,6024.9385931843135,7156.329773802694,785.329773802694,769.4036836758305,787.2558639295576,7.463172409817625,35.925,G
HST,2025-12-04 07:13:38.420832,15.27866357,0.0002049,28.4702,329.9177,143.2197,216.8539,20580,75870,0.00055018,0.00015652,0.0,5654.944858505055,6860.264256173178,489.2642561731782,480.85858802708844,483.6699243192679,7.622513894741053,35.925,B
SCD 1,2025-12-04 08:32:53.323008,14.45989788,0.0041788,24.9709,330.4385,235.8251,262.7821,22490,73288,0.00018125,8.49e-06,0.0,5975.14593235841,7116.846624286947,745.8466242869472,709.1067456133769,768.5865029605175,7.483846031317728,32.925,B
STELLA,2025-12-04 16:38:05.260416,14.27463589,0.0007474,98.8022,36.9786,84.1696,36.287,22824,67702,2.0222e-05,4e-08,0.0,6052.69378958569,7178.291065178207,807.2910651782067,794.9260104360928,805.6561199203215,7.451747235337844,32.925,B
EYESAT A (AO-27),2025-12-04 16:15:19.459584,14.30872272,0.0007593,98.7159,40.9251,316.2458,43.8122,22825,67918,0.00013201,3.02e-06,0.0,6038.274812554338,7166.886253121425,795.8862531214254,783.4444363894299,794.32806985342,7.457673937024494,32.925,C
ITAMSAT (IO-26),2025-12-04 15:27:53.351136,14.31292653,0.0007887,98.7105,40.7906,298.1153,61.9232,22826,67948,0.00014027,3.26e-06,0.0,6036.501327586986,7165.4828735473875,794.4828735473875,781.8314572050213,793.1342898897537,7.458404204269686,32.925,D
USA 119,2025-12-04 10:48:47.515680,13.45531281,0.0841277,63.3236,341.3553,46.2074,320.5482,23893,7906,0.00046174,2.58e-05,0.0,6421.255397034504,7466.8121330285885,1095.8121330285885,460.64640194479944,1716.9778641123776,7.306359460124193,29.925,A
JAS-2 (FO-29),2025-12-04 15:21:33.261120,13.53262097,0.0348946,98.5467,208.8621,241.0356,115.5384,24278,44685,8.0191e-05,4.1e-07,0.0,6384.5725223175305,7438.347752227697,1067.3477522276971,800.7895827528127,1319.9059217025806,7.320325761754259,29.925,B
FORTE,2025-12-04 16:50:02.351904,14.27830955,0.0022424,69.9535,93.2737,191.6817,168.3788,24920,47092,0.00025545,5.76e-06,0.0,6051.13649465598,7177.059746134223,806.0597461342231,782.9659073594921,815.153584908955,7.4523864305721474,28.925,A
ORBCOMM FM06,2025-12-04 05:18:18.543744,14.46819702,0.0002716,45.0136,270.8078,337.7656,175.2064,25118,46614,0.0012192,4.318e-05,0.0,5971.71851341018,7114.124822140894,743.1248221408941,734.1926258392004,738.0570184425878,7.4852775215408895,28.925,G
