OBJECT_NAME,NORAD_CAT_ID,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,CLUSTER,ANOMALY_LABEL,ANOMALY_SCORE,TOP_DEVIATING_FEATURE,DEVIATION_SIGMA
CALSPHERE 4A,1520,13.36262737,0.0068471,89.8995,123.2878,331.9323,0.00019658,1.11e-06,0.0,2,-1,-0.022609012902468917,ECCENTRICITY,2.4496625083759325
OPS 5712 (P/L 160),2826,14.76535187,0.0003095,69.916,235.138,216.7194,0.001698,0.000118,0.0,2,-1,-0.00020519014725373097,BSTAR,0.43383501177602973
STARLETTE,7646,13.82349317,0.0205626,49.8238,61.7095,157.6298,-1.0126e-06,-1.45e-06,0.0,2,-1,-0.1427542883009753,ECCENTRICITY,8.215511835423802
AJISAI (EGS),16908,12.44515644,0.0011331,50.0112,34.2653,336.5299,2.3292e-06,-9.7e-07,0.0,2,-1,-0.05999379248658937,ARG_OF_PERICENTER,2.7370782922591426
HST,20580,15.29774056,0.0001691,28.472,269.6203,350.4608,0.00029315,8.936e-05,0.0,2,-1,-0.08796933989868855,INCLINATION,4.64248799656324
SCD 1,22490,14.46079704,0.0041912,24.9708,343.6852,7.8845,9.2545e-05,5.24e-06,0.0,2,-1,-0.10452887496051716,INCLINATION,4.917435325053768
ORBCOMM FM06,25118,14.47335555,0.0002714,45.014,80.1792,274.661,0.00048281,1.64e-05,0.0,2,-1,-0.008793060713534584,INCLINATION,3.3434537489080625
ORBCOMM FM04,25159,14.3556935,0.003847,107.9603,3.8241,107.7162,0.00038032,9.74e-06,0.0,2,-1,-0.006470597436901038,INCLINATION,1.5996848959460723
CELESTIS-02 & TAURUS R/B,25160,14.2245896,0.006377,108.0042,170.1932,270.098,7.1467e-05,3.3e-07,0.0,2,-1,-0.020948930196469095,ECCENTRICITY,2.2520375024596184
ORBCOMM FM27,25481,14.38978043,0.0001209,45.007,357.4647,316.8551,0.00037397,1.022e-05,0.0,2,-1,-0.03376753448209163,INCLINATION,3.3440034550943514
SCD 2,25504,14.45492344,0.0016779,24.9946,208.7705,353.0159,6.7016e-05,4.22e-06,0.0,2,-1,-0.07145224102887654,INCLINATION,4.915566324020387
ORBCOMM FM32,25982,14.37003858,0.0004495,45.0148,194.4219,6.2329,0.00033454,8.59e-06,0.0,2,-1,-0.005202450006213832,INCLINATION,3.343390925343915
LATINSAT B,27606,14.76903395,0.0086209,64.5533,136.8593,285.668,0.00013083,8.29e-06,0.0,2,-1,-0.005798953076218916,ECCENTRICITY,3.195349033571333
SAUDISAT 1C (SO-50),27607,14.82854107,0.0075445,64.5539,19.424,277.227,0.00020667,1.607e-05,0.0,2,-1,-0.03191261304712517,ECCENTRICITY,2.7428420002415725
