OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,ORBIT_PERIOD_SEC,SEMI_MAJOR_AXIS,ORBIT_HEIGHT,PERIGEE,APOGEE,ORBITAL_SPEED,AGE_SINCE_LAUNCH,SAT_TYPE,CLUSTER,ANOMALY_LABEL,ANOMALY_SCORE
CALSPHERE 1,1964-063C,2026-04-10 10:17:14.604000,13.76543086,0.0027068,90.2196,70.1792,132.7427,326.0545,0,U,900,999,6210,0.00071554,7.12e-06,0.0,6276.592493088153,7354.241446194084,983.2414461940843,956.3349854475264,996.1479069406414,7.361966202372175,62.3,C,4,1,0.025935660537744487
CALSPHERE 2,1964-063E,2026-04-10 10:41:08.041344,13.52894789,0.002048,90.2317,74.174,66.5184,58.3119,0,U,902,999,84710,6.6482e-05,5.3e-07,0.0,6386.305919905499,7439.69402149852,1068.6940214985198,1046.4575281424904,1076.930514854549,7.319564197526428,62.3,E,4,1,0.09453718858047705
TEMPSAT 1,1965-065E,2026-04-10 07:17:11.206752,13.33591122,0.0071512,89.9994,212.5808,79.8068,307.8389,0,U,1512,999,95100,5.0304e-05,3.5e-07,0.0,6478.747389261639,7511.314734314832,1140.314734314832,1079.5998203867994,1187.0296482428648,7.284584432860132,61.3,E,4,1,0.07856053823639303
CALSPHERE 4A,1965-065H,2026-04-10 13:14:56.152320,13.36265537,0.006773,89.8976,123.1624,295.1911,213.0746,0,U,1520,999,95367,0.00015287,8.8e-07,0.0,6465.780760459737,7501.289242100028,1130.2892421000279,1072.4830100632844,1174.0954741367705,7.289450740287091,61.3,H,4,1,0.06562553022501755
OPS 5712 (P/L 160),1967-053A,2026-04-10 12:56:21.804000,14.76848541,0.0002405,69.917,203.9763,226.9181,133.1765,0,U,2826,999,5624,0.0010657,7.427e-05,0.0,5850.295247033054,7017.360449186005,646.3604491860051,637.672773997976,641.0481243740351,7.536606992932437,59.3,A,4,1,0.024877720445001805
SURCAL 159,1967-053F,2026-04-10 09:45:38.325312,13.99585802,0.0008497,69.9729,146.7836,221.6567,138.3894,0,U,2872,999,72,8.6328e-05,7.2e-07,0.0,6173.254964185468,7273.298387186855,902.2983871868546,889.1182655472621,901.478508826448,7.402817772185652,59.3,F,4,1,0.11265072246140151
OPS 5712 (P/L 153),1967-053H,2026-04-10 12:34:29.563392,13.96818673,0.0009965,69.9729,260.3341,279.5768,80.4212,0,U,2874,999,99733,7.7274e-05,5.4e-07,0.0,6185.484320197086,7282.900929528363,911.9009295283631,897.6435187520883,912.1583403046388,7.397935835782572,59.3,H,4,1,0.09660199712914358
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-04-10 11:27:10.097280,14.37793534,0.0062244,87.6271,357.606,97.0768,263.7515,0,U,5398,999,86415,0.00020588,6.53e-06,0.0,6009.207717023994,7143.867751059738,772.8677510597381,721.4014606300416,810.3340414894346,7.4695778551190095,55.3,E,4,1,0.05358242243061084
OSCAR 7 (AO-7),1974-089B,2026-04-10 11:53:22.776864,12.53696981,0.0011874,101.9946,113.0276,259.9847,255.9878,0,U,7530,999,35203,0.00010188,-3e-07,0.0,6891.617456961874,7827.132822081217,1456.1328220812165,1439.8388845682775,1458.4267595941565,7.1361079241801475,52.3,B,4,1,0.0634873751387422
STARLETTE,1975-010A,2026-04-10 11:56:06.675936,13.82349371,0.0205648,49.8264,11.7756,199.4215,159.8756,0,U,7646,999,58517,1.8727e-06,-1.39e-06,0.0,6250.228908303963,7333.633645513999,962.633645513999,804.8189363207321,1106.448354707266,7.37230265414954,51.3,A,4,-1,-0.02603989996309153
