OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-02-02T02:32:57.538464,13.76448981,0.0024422,90.2164,68.6422,345.9666,68.1314,0,U,900,999,5284,0.00064841621,6.44e-06,0.0
CALSPHERE 2,1964-063E,2026-02-02T03:06:15.933312,13.52888518,0.0016622,90.2297,72.6129,258.1437,166.2895,0,U,902,999,83800,5.3798842e-05,4.4e-07,0.0
LCS 1,1965-034C,2026-02-02T06:22:08.201280,9.89309885,0.0013426,32.1387,137.3724,3.4492,356.6096,0,U,1361,999,19652,-0.0014335915,-3e-08,0.0
TEMPSAT 1,1965-065E,2026-02-02T07:42:27.232992,13.33586716,0.00678385,89.9875,212.6134,267.3317,211.065,0,U,1512,999,94207,5.1680129e-05,3.4e-07,0.0
CALSPHERE 4A,1965-065H,2026-02-02T07:01:09.064128,13.36252373,0.0071589,89.9095,123.7934,123.987,299.7998,0,U,1520,999,94469,0.00018640975,1.07e-06,0.0
OPS 5712 (P/L 160),1967-053A,2026-02-02T06:01:46.716096,14.75464667,0.00063691,69.9189,8.4899,260.6143,99.4283,0,U,2826,999,4631,0.0015938779,0.00010798,0.0
LES-5,1967-066E,2026-02-02T06:01:51.742848,1.09426003,0.00568208,2.312,100.6765,205.4068,155.5219,0,U,2866,999,12956,0.0,-1.14e-06,0.0
SURCAL 159,1967-053F,2026-02-02T01:59:39.966144,13.99563461,0.00095184,69.9744,291.7474,284.1318,75.8731,0,U,2872,999,99130,0.00011090787,1.08e-06,0.0
OPS 5712 (P/L 153),1967-053H,2026-02-02T06:46:11.192736,13.96804321,0.00073086,69.9734,44.4596,347.1477,12.9441,0,U,2874,999,98794,6.3957541e-05,3.6e-07,0.0
OPS 3811 (DSP 2),1971-039A,2026-02-02T06:35:11.051808,0.98162127,0.00248606,0.2441,339.7297,310.385,297.7433,0,U,5204,999,20490,0.0,-1.82e-06,0.0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-02-02T07:32:56.624064,14.37671699,0.00586818,87.622,16.2211,322.2757,37.4333,0,U,5398,999,85450,0.0003442944,1.072e-05,0.0
OSCAR 7 (AO-7),1974-089B,2026-02-02T06:52:48.186048,12.5369558,0.00123047,101.9969,45.0971,29.8135,40.7614,0,U,7530,999,34361,4.3539077e-05,-3.9e-07,0.0
STARLETTE,1975-010A,2026-02-02T04:37:39.284256,13.82348675,0.02055552,49.824,277.4486,337.0807,22.1013,0,U,7646,999,57586,2.8736193e-05,-1.06e-06,0.0
LAGEOS 1,1976-039A,2026-02-02T06:36:17.976384,6.38664903,0.00446593,109.8258,133.1518,331.1645,87.3855,0,U,8820,999,90452,0.0,-6e-08,0.0
OPS 8701 (DSP 10),1982-019A,2026-02-02T03:00:09.153216,0.98189775,0.00062953,9.5629,310.1762,318.468,231.6148,0,U,13086,999,2433,0.0,-1.69e-06,0.0
PHASE 3B (AO-10),1983-058B,2026-02-01T21:07:19.595424,2.0587136,0.60571976,25.966,242.397,78.0086,340.2671,0,U,14129,999,29270,0.0,-7.6e-07,0.0
UOSAT 2 (UO-11),1984-021B,2026-02-02T03:48:36.701568,14.90364968,0.00060393,97.7884,0.417,271.9124,88.1402,0,U,14781,999,23701,0.00013728634,1.281e-05,0.0
AJISAI (EGS),1986-061A,2026-02-02T07:08:35.833344,12.44515336,0.00112549,50.0072,202.1784,195.9636,222.1936,0,U,16908,999,46359,-6.035118e-06,-9.8e-07,0.0
